price,name,sold,img,link
680,"Aveeno Daily Moisturizing Lotion, Sheer Hydration, 18oz/530ml",,https://down-ph.img.susercontent.com/file/a6e43d36e74aae331c5e5612f5e31457_tn,https://shopee.ph/Aveeno-Daily-Moisturizing-Lotion-Sheer-Hydration-18oz-530ml-i.67102570.20817268174?sp_atk=ccd4b4b8-b1e6-4e41-9085-2d2c23d79e90&xptdk=ccd4b4b8-b1e6-4e41-9085-2d2c23d79e90
525,"Original Bath and Body Works Mist, Confident (Champagne Toast), 236ml",,https://down-ph.img.susercontent.com/file/8ab1aa88ec1775d9263ee7b694190fbf_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Confident-(Champagne-Toast)-236ml-i.67102570.21018166416?sp_atk=14785f51-3e9a-4187-80a9-964e82c72f52&xptdk=14785f51-3e9a-4187-80a9-964e82c72f52
499,"Bath and Body Works Mist, Beautiful Day, 236ml",,https://down-ph.img.susercontent.com/file/b47100fefc6eb24fad93ce87b9dc4b58_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Beautiful-Day-236ml-i.67102570.16577715137?sp_atk=6f6f19de-a7d3-4b94-a8c4-66cc40037ca5&xptdk=6f6f19de-a7d3-4b94-a8c4-66cc40037ca5
530,"Bath and Body Works Mist, Magnolia Charm, 236ml",,,https://shopee.ph/Bath-and-Body-Works-Mist-Magnolia-Charm-236ml-i.67102570.19317254064?sp_atk=ff89045a-7c8d-4da7-9269-535e78e43d9f&xptdk=ff89045a-7c8d-4da7-9269-535e78e43d9f
530,"Bath and Body Works Mist, Magnolia Charm, 236ml",,https://down-ph.img.susercontent.com/file/27d19d7e6050d6646e58f16e0090f322_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Magnolia-Charm-236ml-i.67102570.19317254064?sp_atk=fda1755f-3f14-4cb7-971d-26bf96b593a3&xptdk=fda1755f-3f14-4cb7-971d-26bf96b593a3
460,"Bath and Body Works Mist, Candied Violet Sorbet, 236ml",,https://down-ph.img.susercontent.com/file/32a196f644d80583b648bd4bb5abb87e_tn,https://shopee.ph/Bath-and-Body-Works-Mist-Candied-Violet-Sorbet-236ml-i.67102570.21016374415?sp_atk=99ab8375-5c79-4e92-b3e9-0ec733979065&xptdk=99ab8375-5c79-4e92-b3e9-0ec733979065
585,"Bath and Body Works Mist, A Thousand Wishes For You, 236ml",,https://down-ph.img.susercontent.com/file/f260b4da791d60561e0e7b546d04d8d6_tn,https://shopee.ph/Bath-and-Body-Works-Mist-A-Thousand-Wishes-For-You-236ml-i.67102570.14389165090?sp_atk=60fdff99-33e1-44c3-bc4b-b214a35c0196&xptdk=60fdff99-33e1-44c3-bc4b-b214a35c0196
510,"Original Bath and Body Works Mist, Twisted Peppermint, 236ml",1 sold,https://down-ph.img.susercontent.com/file/45a74d4d5d72d0f96e687ba8a8ce4450_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Twisted-Peppermint-236ml-i.67102570.19310534246?sp_atk=a89637f5-b7a2-48a9-80dc-ed40bb738093&xptdk=a89637f5-b7a2-48a9-80dc-ed40bb738093
460,"Original Bath and Body Works Mist, Honeysuckle, 236ml",,https://down-ph.img.susercontent.com/file/5a19f9ee109442fe7c85174bf98ba1c4_tn,https://shopee.ph/Original-Bath-and-Body-Works-Mist-Honeysuckle-236ml-i.67102570.21016376815?sp_atk=588881c9-c9eb-4c2c-8482-64f224036833&xptdk=588881c9-c9eb-4c2c-8482-64f224036833
510,"Bath and Body Works Mist, White Tea and Sage, 236ml",,https://down-ph.img.susercontent.com/file/6d08762012f7839a2bfb48df1774a1b6_tn,https://shopee.ph/Bath-and-Body-Works-Mist-White-Tea-and-Sage-236ml-i.67102570.19719041187?sp_atk=99742704-0f7e-4934-b512-0b85a9cdb622&xptdk=99742704-0f7e-4934-b512-0b85a9cdb622
